CarCode,shiftlimit,revlimit,torquevol,torquepoint,torqueA,torqueB,torqueC,torqueD,torqueE,torqueF,torqueG,torqueH,torqueI,torqueJ,torqueK,torqueL,torqueM,torqueN,torqueO,torqueP,torqueQ,torqueR,torqueS,torqueT,torqueU,torqueV,torqueW,torqueX,rpmA,rpmB,rpmC,rpmD,rpmE,rpmF,rpmG,rpmH,rpmI,rpmJ,rpmK,rpmL,rpmM,rpmN,rpmO,rpmP,rpmQ,rpmR,rpmS,rpmT,rpmU,rpmV,rpmW,rpmX
3187,8800.0,9000.0,100.0,17.0,40.82,44.0,47.68,50.74,52.97,54.41,55.43,56.09,56.6,56.18,55.85,55.49,55.13,54.71,54.0,50.32,43.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3314,8000.0,8500.0,100.0,16.0,28.85,34.26,39.87,45.33,51.31,57.62,64.26,69.1,71.4,71.38,71.36,71.34,71.32,71.3,59.27,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3334,5000.0,5500.0,100.0,11.0,35.89,49.16,72.19,83.58,86.89,86.89,86.45,81.88,73.35,65.63,49.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,6000.0,6200.0,100.0,12.0,38.61,49.5,62.98,86.94,91.02,91.84,91.8,85.69,77.4,70.11,64.26,49.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2179,6900.0,7000.0,100.0,13.0,29.23,36.25,45.98,56.74,66.86,73.72,73.64,73.13,72.93,72.77,72.69,71.63,59.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3188,9500.0,10000.0,100.0,19.0,37.68,39.45,41.22,42.99,44.76,47.53,49.52,49.77,50.79,53.32,55.07,56.67,59.67,60.76,59.58,57.75,55.92,52.95,47.34,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9500.0,10000.0,0.0,0.0,0.0,0.0,0.0
2180,9200.0,9500.0,100.0,18.0,28.5,29.81,32.29,34.5,36.64,38.0,40.53,44.28,47.69,50.31,54.66,58.68,61.43,58.81,56.4,54.46,51.7,29.27,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0
1067,7500.0,8000.0,100.0,15.0,39.07,46.19,50.19,55.41,58.37,62.93,69.11,74.55,78.23,79.61,79.45,79.15,77.72,72.47,65.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,9500.0,10000.0,100.0,17.0,25.8,31.4,36.8,41.5,46.3,50.8,55.1,57.9,60.8,62.0,61.79,61.29,60.1,58.2,55.7,52.7,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2181,8800.0,9000.0,100.0,17.0,24.7,26.56,28.89,31.77,34.92,37.86,42.25,46.92,51.78,55.55,57.0,57.6,57.52,56.92,56.14,54.77,50.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3335,8500.0,9000.0,100.0,17.0,31.68,35.55,39.34,44.47,49.38,55.19,61.43,66.04,67.52,67.01,66.63,66.4,65.97,65.33,62.69,52.73,37.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
998,7500.0,8000.0,100.0,15.0,37.6,46.2,49.8,60.8,78.8,82.6,82.4,82.2,82.1,82.3,81.2,78.8,73.7,66.4,58.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2127,7000.0,7500.0,100.0,14.0,54.5,63.7,72.1,78.3,85.3,90.1,94.5,95.57,87.47,79.82,71.68,66.48,61.06,54.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
954,7600.0,8000.0,100.0,16.0,34.0,41.0,46.4,49.9,53.6,58.4,65.59,77.6,79.8,80.0,79.9,79.9,78.9,76.4,71.4,63.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646,6500.0,7000.0,100.0,13.0,41.3,58.2,79.3,104.3,118.6,122.45,119.5,111.7,100.8,91.9,84.8,76.8,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3333,6500.0,7000.0,100.0,14.0,30.8,53.5,74.9,86.9,89.53,89.53,89.53,89.53,89.53,89.53,88.0,84.01,70.4,52.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3313,7600.0,8000.0,100.0,15.0,27.54,33.24,36.11,41.41,49.14,51.91,52.87,52.82,52.49,52.1,51.73,51.3,50.45,48.43,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3373,8200.0,8500.0,100.0,16.0,26.36,29.67,37.21,41.09,48.27,65.14,70.15,71.94,72.4,72.26,71.86,70.99,69.34,66.52,62.7,57.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3499,8200.0,8500.0,100.0,19.0,29.85,31.19,32.92,35.37,38.15,41.61,45.97,51.43,56.98,60.16,63.26,65.94,67.81,68.47,67.43,65.6,62.44,58.74,49.8,0.0,0.0,0.0,0.0,0.0,1400.0,1800.0,2200.0,2600.0,3000.0,3400.0,3800.0,4200.0,4600.0,5000.0,5400.0,5800.0,6200.0,6600.0,7000.0,7400.0,7800.0,8200.0,8600.0,0.0,0.0,0.0,0.0,0.0
2101,10000.0,10500.0,100.0,20.0,20.28,22.56,24.8,27.82,31.08,34.59,37.1,39.64,41.29,42.08,42.35,42.25,42.33,42.23,42.05,41.7,41.06,40.04,38.5,35.27,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9500.0,10000.0,10500.0,0.0,0.0,0.0,0.0
3312,8000.0,9000.0,100.0,17.0,27.95,32.74,35.89,39.36,47.12,50.04,51.41,51.15,50.34,50.82,51.04,50.66,49.75,47.8,43.77,37.72,29.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,7000.0,7500.0,100.0,14.0,38.6,43.7,49.5,56.7,62.6,66.9,69.8,71.4,72.55,71.8,70.3,67.4,58.5,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1510,7500.0,8000.0,100.0,15.0,27.36,30.89,35.24,38.79,44.27,48.95,51.64,56.78,59.23,60.07,59.0,56.67,53.49,50.28,44.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3348,9000.0,9500.0,100.0,18.0,19.62,22.27,25.63,30.28,39.56,52.14,58.78,61.48,62.5,62.11,61.22,59.91,58.35,56.46,54.32,51.64,48.53,44.28,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0
3349,8500.0,9000.0,100.0,17.0,20.01,25.43,34.63,46.25,54.94,58.7,60.05,59.95,59.73,59.38,58.95,58.49,57.92,57.04,55.78,51.74,45.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1516,7000.0,7500.0,100.0,14.0,35.45,39.65,44.64,48.68,51.45,54.37,56.34,57.77,58.83,59.68,59.37,57.36,53.65,47.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3397,8800.0,9000.0,100.0,17.0,27.47,31.31,34.38,37.8,41.57,45.21,48.01,50.07,51.93,53.33,54.23,54.81,55.0,54.5,53.35,51.26,48.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3350,8500.0,9000.0,100.0,17.0,19.64,23.66,29.66,39.11,49.88,56.44,59.4,60.01,59.97,59.83,59.55,59.24,58.76,57.81,55.6,52.23,48.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1466,7500.0,8000.0,100.0,15.0,31.81,40.04,45.9,49.79,52.4,54.33,55.8,56.17,56.1,56.0,55.79,55.55,54.77,50.87,37.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3185,8200.0,8500.0,100.0,16.0,20.92,25.89,29.5,33.35,37.75,41.96,48.2,51.81,53.41,53.97,53.89,53.23,52.29,50.64,48.0,44.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3394,7000.0,7500.0,100.0,14.0,32.81,37.19,42.23,46.84,52.53,57.18,62.05,65.01,66.94,67.86,67.76,67.1,61.51,48.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2131,7000.0,7500.0,100.0,14.0,31.4,35.61,40.15,43.54,47.66,53.94,58.88,65.2,68.59,70.07,68.81,66.14,58.86,47.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2143,8200.0,8500.0,100.0,17.0,33.56,37.46,39.25,42.36,46.16,48.36,50.93,52.69,55.13,56.99,58.19,58.6,58.19,56.73,52.86,47.2,39.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3405,8200.0,8500.0,100.0,17.0,33.64,38.26,40.23,43.14,47.36,49.65,52.29,53.45,55.82,57.4,58.29,58.6,58.16,55.92,52.0,46.91,38.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,8500.0,9000.0,100.0,17.0,28.33,31.03,34.36,37.97,40.86,43.94,46.64,48.82,50.3,51.02,50.87,50.16,49.01,47.5,45.39,42.8,37.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3221,6500.0,7000.0,100.0,14.0,32.74,41.99,56.85,68.9,74.99,76.5,76.5,76.5,76.5,75.73,70.76,65.13,57.39,48.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3218,6500.0,7000.0,100.0,14.0,32.74,41.99,56.85,68.9,74.99,76.5,76.5,76.5,76.5,75.73,70.76,65.13,57.39,48.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902,8600.0,9000.0,100.0,17.0,29.52,31.77,34.99,38.84,42.1,44.54,48.17,50.78,52.12,52.55,52.2,51.39,50.4,49.26,47.49,43.8,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2183,6800.0,7000.0,100.0,13.0,42.8,54.2,63.9,69.59,72.4,72.9,72.2,72.4,72.09,71.3,69.3,61.9,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2190,9000.0,9500.0,100.0,18.0,27.94,32.56,37.72,41.64,44.67,48.04,52.86,55.55,57.06,57.82,59.15,59.6,58.9,57.47,54.31,51.28,47.42,41.85,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0
3223,6800.0,7000.0,100.0,13.0,44.0,53.07,62.0,69.55,74.95,79.75,83.4,86.46,88.6,86.65,82.2,75.05,54.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1500.0,2000.0,2500.0,3000.0,3500.0,4000.0,4500.0,5000.0,5500.0,6000.0,6500.0,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
